"Time","sum(rate(container_network_receive_packets_total{container=""POD"", interface=""net2"", job=""kubelet"", pod=~""oai-spgwu.*"",namespace=""oai""}[1m]))
"
2022-07-24 23:53:00,0.0333
2022-07-24 23:53:15,0
2022-07-24 23:53:30,0
2022-07-24 23:53:45,0
2022-07-24 23:54:00,0
2022-07-24 23:54:15,127
2022-07-24 23:54:30,170
2022-07-24 23:54:45,278
2022-07-24 23:55:00,278
2022-07-24 23:55:15,166
2022-07-24 23:55:30,166
2022-07-24 23:55:45,203
2022-07-24 23:56:00,203
2022-07-24 23:56:15,152
2022-07-24 23:56:30,152
2022-07-24 23:56:45,169
2022-07-24 23:57:00,169
2022-07-24 23:57:15,154
2022-07-24 23:57:30,154
2022-07-24 23:57:45,136
2022-07-24 23:58:00,136
2022-07-24 23:58:15,127
2022-07-24 23:58:30,127
2022-07-24 23:58:45,128
2022-07-24 23:59:00,128
2022-07-24 23:59:15,130
2022-07-24 23:59:30,130
2022-07-24 23:59:45,162
2022-07-25 00:00:00,162
2022-07-25 00:00:15,126
2022-07-25 00:00:30,126
2022-07-25 00:00:45,130
2022-07-25 00:01:00,130
2022-07-25 00:01:15,201
2022-07-25 00:01:30,201
2022-07-25 00:01:45,205
2022-07-25 00:02:00,205
2022-07-25 00:02:15,240
2022-07-25 00:02:30,240
2022-07-25 00:02:45,243
2022-07-25 00:03:00,243
2022-07-25 00:03:15,167
2022-07-25 00:03:30,167
2022-07-25 00:03:45,330
2022-07-25 00:04:00,330
2022-07-25 00:04:15,249
2022-07-25 00:04:30,249
2022-07-25 00:04:45,316
2022-07-25 00:05:00,316
2022-07-25 00:05:15,299
2022-07-25 00:05:30,299
2022-07-25 00:05:45,252
2022-07-25 00:06:00,252
2022-07-25 00:06:15,292
2022-07-25 00:06:30,292
2022-07-25 00:06:45,282
2022-07-25 00:07:00,282
2022-07-25 00:07:15,231
2022-07-25 00:07:30,231
2022-07-25 00:07:45,307
2022-07-25 00:08:00,307
2022-07-25 00:08:15,285
2022-07-25 00:08:30,285
2022-07-25 00:08:45,221
2022-07-25 00:09:00,221
2022-07-25 00:09:15,316
2022-07-25 00:09:30,316
2022-07-25 00:09:45,277
2022-07-25 00:10:00,277
2022-07-25 00:10:15,258
2022-07-25 00:10:30,258
2022-07-25 00:10:45,325
2022-07-25 00:11:00,325
2022-07-25 00:11:15,198
2022-07-25 00:11:30,198
2022-07-25 00:11:45,272
2022-07-25 00:12:00,272
2022-07-25 00:12:15,243
2022-07-25 00:12:30,243
2022-07-25 00:12:45,332
2022-07-25 00:13:00,332
2022-07-25 00:13:15,304
2022-07-25 00:13:30,304
2022-07-25 00:13:45,300
2022-07-25 00:14:00,300
2022-07-25 00:14:15,277
2022-07-25 00:14:30,277
2022-07-25 00:14:45,225
2022-07-25 00:15:00,225
2022-07-25 00:15:15,278
2022-07-25 00:15:30,278
2022-07-25 00:15:45,239
2022-07-25 00:16:00,239
2022-07-25 00:16:15,133
2022-07-25 00:16:30,133
2022-07-25 00:16:45,326
2022-07-25 00:17:00,326
2022-07-25 00:17:15,221
2022-07-25 00:17:30,221
2022-07-25 00:17:45,124
2022-07-25 00:18:00,124
2022-07-25 00:18:15,240
2022-07-25 00:18:30,240
2022-07-25 00:18:45,215
2022-07-25 00:19:00,215
2022-07-25 00:19:15,237
2022-07-25 00:19:30,237
2022-07-25 00:19:45,171
2022-07-25 00:20:00,171
2022-07-25 00:20:15,119
2022-07-25 00:20:30,119
2022-07-25 00:20:45,139
2022-07-25 00:21:00,139
2022-07-25 00:21:15,127
2022-07-25 00:21:30,127
2022-07-25 00:21:45,110
2022-07-25 00:22:00,110
2022-07-25 00:22:15,114
2022-07-25 00:22:30,114
2022-07-25 00:22:45,74.1
2022-07-25 00:23:00,74.1
2022-07-25 00:23:15,117
2022-07-25 00:23:30,117
2022-07-25 00:23:45,125
2022-07-25 00:24:00,125
2022-07-25 00:24:15,67.4
2022-07-25 00:24:30,67.4
2022-07-25 00:24:45,124
2022-07-25 00:25:00,124
2022-07-25 00:25:15,107
2022-07-25 00:25:30,107
2022-07-25 00:25:45,147
2022-07-25 00:26:00,147
2022-07-25 00:26:15,129
2022-07-25 00:26:30,129
2022-07-25 00:26:45,159
2022-07-25 00:27:00,159
2022-07-25 00:27:15,183
2022-07-25 00:27:30,183
2022-07-25 00:27:45,246
2022-07-25 00:28:00,246
2022-07-25 00:28:15,221
2022-07-25 00:28:30,221
2022-07-25 00:28:45,253
2022-07-25 00:29:00,253
2022-07-25 00:29:15,293
2022-07-25 00:29:30,293
2022-07-25 00:29:45,306
2022-07-25 00:30:00,306
2022-07-25 00:30:15,305
2022-07-25 00:30:30,305
2022-07-25 00:30:45,149
2022-07-25 00:31:00,149
2022-07-25 00:31:15,284
2022-07-25 00:31:30,284
2022-07-25 00:31:45,239
2022-07-25 00:32:00,239
2022-07-25 00:32:15,211
2022-07-25 00:32:30,211
2022-07-25 00:32:45,324
2022-07-25 00:33:00,324
2022-07-25 00:33:15,256
2022-07-25 00:33:30,256
2022-07-25 00:33:45,318
2022-07-25 00:34:00,318
2022-07-25 00:34:15,339
2022-07-25 00:34:30,339
2022-07-25 00:34:45,247
2022-07-25 00:35:00,247
2022-07-25 00:35:15,301
2022-07-25 00:35:30,301
2022-07-25 00:35:45,303
2022-07-25 00:36:00,303
2022-07-25 00:36:15,296
2022-07-25 00:36:30,296
2022-07-25 00:36:45,279
2022-07-25 00:37:00,279
2022-07-25 00:37:15,345
2022-07-25 00:37:30,345
2022-07-25 00:37:45,287
2022-07-25 00:38:00,287
2022-07-25 00:38:15,363
2022-07-25 00:38:30,363
2022-07-25 00:38:45,209
2022-07-25 00:39:00,209
2022-07-25 00:39:15,263
2022-07-25 00:39:30,263
2022-07-25 00:39:45,271
2022-07-25 00:40:00,271
2022-07-25 00:40:15,303
2022-07-25 00:40:30,303
2022-07-25 00:40:45,201
2022-07-25 00:41:00,201
2022-07-25 00:41:15,314
2022-07-25 00:41:30,314
2022-07-25 00:41:45,260
2022-07-25 00:42:00,260
2022-07-25 00:42:15,289
2022-07-25 00:42:30,289
2022-07-25 00:42:45,282
2022-07-25 00:43:00,282
2022-07-25 00:43:15,214
2022-07-25 00:43:30,214
2022-07-25 00:43:45,175
2022-07-25 00:44:00,175
2022-07-25 00:44:15,117
2022-07-25 00:44:30,117
2022-07-25 00:44:45,160
2022-07-25 00:45:00,160
2022-07-25 00:45:15,176
2022-07-25 00:45:30,176
2022-07-25 00:45:45,154
2022-07-25 00:46:00,154
2022-07-25 00:46:15,161
2022-07-25 00:46:30,161
2022-07-25 00:46:45,180
2022-07-25 00:47:00,180
2022-07-25 00:47:15,119
2022-07-25 00:47:30,119
2022-07-25 00:47:45,120
2022-07-25 00:48:00,120
2022-07-25 00:48:15,111
2022-07-25 00:48:30,111
2022-07-25 00:48:45,137
2022-07-25 00:49:00,137
2022-07-25 00:49:15,155
2022-07-25 00:49:30,155
2022-07-25 00:49:45,154
2022-07-25 00:50:00,154
2022-07-25 00:50:15,172
2022-07-25 00:50:30,172
2022-07-25 00:50:45,185
2022-07-25 00:51:00,185
2022-07-25 00:51:15,163
2022-07-25 00:51:30,163
2022-07-25 00:51:45,157
2022-07-25 00:52:00,157
2022-07-25 00:52:15,305
2022-07-25 00:52:30,305
2022-07-25 00:52:45,243
2022-07-25 00:53:00,243
2022-07-25 00:53:15,149
2022-07-25 00:53:30,149
2022-07-25 00:53:45,290
2022-07-25 00:54:00,290
2022-07-25 00:54:15,273
2022-07-25 00:54:30,273
2022-07-25 00:54:45,245
2022-07-25 00:55:00,245
2022-07-25 00:55:15,158
2022-07-25 00:55:30,158
2022-07-25 00:55:45,325
2022-07-25 00:56:00,325
2022-07-25 00:56:15,327
2022-07-25 00:56:30,327
2022-07-25 00:56:45,295
2022-07-25 00:57:00,295
2022-07-25 00:57:15,304
2022-07-25 00:57:30,304
2022-07-25 00:57:45,134
2022-07-25 00:58:00,134
2022-07-25 00:58:15,349
2022-07-25 00:58:30,349
2022-07-25 00:58:45,380
2022-07-25 00:59:00,380
2022-07-25 00:59:15,225
2022-07-25 00:59:30,225
2022-07-25 00:59:45,345
2022-07-25 01:00:00,345
2022-07-25 01:00:15,199
2022-07-25 01:00:30,199
2022-07-25 01:00:45,459
2022-07-25 01:01:00,459
2022-07-25 01:01:15,311
2022-07-25 01:01:30,311
2022-07-25 01:01:45,373
2022-07-25 01:02:00,373
2022-07-25 01:02:15,394
2022-07-25 01:02:30,394
2022-07-25 01:02:45,241
2022-07-25 01:03:00,241
2022-07-25 01:03:15,361
2022-07-25 01:03:30,361
2022-07-25 01:03:45,340
2022-07-25 01:04:00,340
2022-07-25 01:04:15,335
2022-07-25 01:04:30,335
2022-07-25 01:04:45,373
2022-07-25 01:05:00,373
2022-07-25 01:05:15,228
2022-07-25 01:05:30,228
2022-07-25 01:05:45,328
2022-07-25 01:06:00,328
2022-07-25 01:06:15,227
2022-07-25 01:06:30,227
2022-07-25 01:06:45,197
2022-07-25 01:07:00,197
2022-07-25 01:07:15,241
2022-07-25 01:07:30,241
2022-07-25 01:07:45,170
2022-07-25 01:08:00,170
2022-07-25 01:08:15,208
2022-07-25 01:08:30,208
2022-07-25 01:08:45,266
2022-07-25 01:09:00,266
2022-07-25 01:09:15,141
2022-07-25 01:09:30,141
2022-07-25 01:09:45,140
2022-07-25 01:10:00,140
2022-07-25 01:10:15,98.1
2022-07-25 01:10:30,98.1
2022-07-25 01:10:45,218
2022-07-25 01:11:00,218
2022-07-25 01:11:15,164
2022-07-25 01:11:30,164
2022-07-25 01:11:45,131
2022-07-25 01:12:00,131
2022-07-25 01:12:15,94.0
2022-07-25 01:12:30,94.0
2022-07-25 01:12:45,151
2022-07-25 01:13:00,151
2022-07-25 01:13:15,185
2022-07-25 01:13:30,185
2022-07-25 01:13:45,153
2022-07-25 01:14:00,153
2022-07-25 01:14:15,254
2022-07-25 01:14:30,254
2022-07-25 01:14:45,114
2022-07-25 01:15:00,114
2022-07-25 01:15:15,288
2022-07-25 01:15:30,288
2022-07-25 01:15:45,440
2022-07-25 01:16:00,440
2022-07-25 01:16:15,291
2022-07-25 01:16:30,291
2022-07-25 01:16:45,473
2022-07-25 01:17:00,473
2022-07-25 01:17:15,265
2022-07-25 01:17:30,265
2022-07-25 01:17:45,528
2022-07-25 01:18:00,528
2022-07-25 01:18:15,538
2022-07-25 01:18:30,538
2022-07-25 01:18:45,596
2022-07-25 01:19:00,596
2022-07-25 01:19:15,451
2022-07-25 01:19:30,451
2022-07-25 01:19:45,448
2022-07-25 01:20:00,448
2022-07-25 01:20:15,404
2022-07-25 01:20:30,404
2022-07-25 01:20:45,472
2022-07-25 01:21:00,472
2022-07-25 01:21:15,441
2022-07-25 01:21:30,441
2022-07-25 01:21:45,607
2022-07-25 01:22:00,607
2022-07-25 01:22:15,511
2022-07-25 01:22:30,511
2022-07-25 01:22:45,519
2022-07-25 01:23:00,519
2022-07-25 01:23:15,569
2022-07-25 01:23:30,569
2022-07-25 01:23:45,448
2022-07-25 01:24:00,448
2022-07-25 01:24:15,467
2022-07-25 01:24:30,467
2022-07-25 01:24:45,555
2022-07-25 01:25:00,555
2022-07-25 01:25:15,643
2022-07-25 01:25:30,643
2022-07-25 01:25:45,561
2022-07-25 01:26:00,561
2022-07-25 01:26:15,416
2022-07-25 01:26:30,416
2022-07-25 01:26:45,335
2022-07-25 01:27:00,335
2022-07-25 01:27:15,472
2022-07-25 01:27:30,472
2022-07-25 01:27:45,433
2022-07-25 01:28:00,433
2022-07-25 01:28:15,494
2022-07-25 01:28:30,494
2022-07-25 01:28:45,397
2022-07-25 01:29:00,397
2022-07-25 01:29:15,535
2022-07-25 01:29:30,535
2022-07-25 01:29:45,383
2022-07-25 01:30:00,383
2022-07-25 01:30:15,283
2022-07-25 01:30:30,283
2022-07-25 01:30:45,452
2022-07-25 01:31:00,452
2022-07-25 01:31:15,316
2022-07-25 01:31:30,316
2022-07-25 01:31:45,287
2022-07-25 01:32:00,287
2022-07-25 01:32:15,201
2022-07-25 01:32:30,201
2022-07-25 01:32:45,228
2022-07-25 01:33:00,228
2022-07-25 01:33:15,241
2022-07-25 01:33:30,241
2022-07-25 01:33:45,190
2022-07-25 01:34:00,190
2022-07-25 01:34:15,173
2022-07-25 01:34:30,173
2022-07-25 01:34:45,163
2022-07-25 01:35:00,163
2022-07-25 01:35:15,151
2022-07-25 01:35:30,151
2022-07-25 01:35:45,168
2022-07-25 01:36:00,168
2022-07-25 01:36:15,149
2022-07-25 01:36:30,149
2022-07-25 01:36:45,101
2022-07-25 01:37:00,101
2022-07-25 01:37:15,230
2022-07-25 01:37:30,230
2022-07-25 01:37:45,209
2022-07-25 01:38:00,209
2022-07-25 01:38:15,97.4
2022-07-25 01:38:30,97.4
2022-07-25 01:38:45,320
2022-07-25 01:39:00,320
2022-07-25 01:39:15,286
2022-07-25 01:39:30,286
2022-07-25 01:39:45,381
2022-07-25 01:40:00,381
2022-07-25 01:40:15,601
2022-07-25 01:40:30,601
2022-07-25 01:40:45,513
2022-07-25 01:41:00,513
2022-07-25 01:41:15,274
2022-07-25 01:41:30,274
2022-07-25 01:41:45,512
2022-07-25 01:42:00,512
2022-07-25 01:42:15,478
2022-07-25 01:42:30,478
2022-07-25 01:42:45,559
2022-07-25 01:43:00,559
2022-07-25 01:43:15,573
2022-07-25 01:43:30,573
2022-07-25 01:43:45,458
2022-07-25 01:44:00,458
2022-07-25 01:44:15,554
2022-07-25 01:44:30,554
2022-07-25 01:44:45,602
2022-07-25 01:45:00,602
2022-07-25 01:45:15,717
2022-07-25 01:45:30,717
2022-07-25 01:45:45,482
2022-07-25 01:46:00,482
2022-07-25 01:46:15,477
2022-07-25 01:46:30,477
2022-07-25 01:46:45,481
2022-07-25 01:47:00,481
2022-07-25 01:47:15,557
2022-07-25 01:47:30,557
2022-07-25 01:47:45,629
2022-07-25 01:48:00,629
2022-07-25 01:48:15,594
2022-07-25 01:48:30,594
2022-07-25 01:48:45,259
2022-07-25 01:49:00,259
2022-07-25 01:49:15,712
2022-07-25 01:49:30,712
2022-07-25 01:49:45,246
2022-07-25 01:50:00,246
2022-07-25 01:50:15,633
2022-07-25 01:50:30,633
2022-07-25 01:50:45,498
2022-07-25 01:51:00,498
2022-07-25 01:51:15,516
2022-07-25 01:51:30,516
2022-07-25 01:51:45,409
2022-07-25 01:52:00,409
2022-07-25 01:52:15,436
2022-07-25 01:52:30,436
2022-07-25 01:52:45,234
2022-07-25 01:53:00,234
2022-07-25 01:53:15,518
2022-07-25 01:53:30,518
2022-07-25 01:53:45,518
2022-07-25 01:54:00,518
2022-07-25 01:54:15,248
2022-07-25 01:54:30,248
2022-07-25 01:54:45,338
2022-07-25 01:55:00,338
2022-07-25 01:55:15,472
2022-07-25 01:55:30,472
2022-07-25 01:55:45,184
2022-07-25 01:56:00,184
2022-07-25 01:56:15,425
2022-07-25 01:56:30,425
2022-07-25 01:56:45,263
2022-07-25 01:57:00,263
2022-07-25 01:57:15,266
2022-07-25 01:57:30,266
2022-07-25 01:57:45,233
2022-07-25 01:58:00,233
2022-07-25 01:58:15,231
2022-07-25 01:58:30,231
2022-07-25 01:58:45,205
2022-07-25 01:59:00,205
2022-07-25 01:59:15,144
2022-07-25 01:59:30,144
2022-07-25 01:59:45,261
2022-07-25 02:00:00,261
2022-07-25 02:00:15,146
2022-07-25 02:00:30,146
2022-07-25 02:00:45,139
2022-07-25 02:01:00,139
2022-07-25 02:01:15,179
2022-07-25 02:01:30,179
2022-07-25 02:01:45,180
2022-07-25 02:02:00,180
2022-07-25 02:02:15,199
2022-07-25 02:02:30,199
2022-07-25 02:02:45,126
2022-07-25 02:03:00,126
2022-07-25 02:03:15,310
2022-07-25 02:03:30,310
2022-07-25 02:03:45,334
2022-07-25 02:04:00,334
2022-07-25 02:04:15,366
2022-07-25 02:04:30,366
2022-07-25 02:04:45,231
2022-07-25 02:05:00,231
2022-07-25 02:05:15,528
2022-07-25 02:05:30,528
2022-07-25 02:05:45,476
2022-07-25 02:06:00,476
2022-07-25 02:06:15,414
2022-07-25 02:06:30,414
2022-07-25 02:06:45,512
2022-07-25 02:07:00,512
2022-07-25 02:07:15,383
2022-07-25 02:07:30,383
2022-07-25 02:07:45,706
2022-07-25 02:08:00,706
2022-07-25 02:08:15,334
2022-07-25 02:08:30,334
2022-07-25 02:08:45,612
2022-07-25 02:09:00,612
2022-07-25 02:09:15,425
2022-07-25 02:09:30,425
2022-07-25 02:09:45,515
2022-07-25 02:10:00,515
2022-07-25 02:10:15,726
2022-07-25 02:10:30,726
2022-07-25 02:10:45,317
2022-07-25 02:11:00,317
2022-07-25 02:11:15,677
2022-07-25 02:11:30,677
2022-07-25 02:11:45,232
2022-07-25 02:12:00,232
2022-07-25 02:12:15,592
2022-07-25 02:12:30,592
2022-07-25 02:12:45,373
2022-07-25 02:13:00,373
2022-07-25 02:13:15,477
2022-07-25 02:13:30,477
2022-07-25 02:13:45,565
2022-07-25 02:14:00,565
2022-07-25 02:14:15,584
2022-07-25 02:14:30,584
2022-07-25 02:14:45,566
2022-07-25 02:15:00,566
2022-07-25 02:15:15,530
2022-07-25 02:15:30,530
2022-07-25 02:15:45,570
2022-07-25 02:16:00,570
2022-07-25 02:16:15,479
2022-07-25 02:16:30,479
2022-07-25 02:16:45,261
2022-07-25 02:17:00,261
2022-07-25 02:17:15,483
2022-07-25 02:17:30,483
2022-07-25 02:17:45,374
2022-07-25 02:18:00,374
2022-07-25 02:18:15,399
2022-07-25 02:18:30,399
2022-07-25 02:18:45,530
2022-07-25 02:19:00,530
2022-07-25 02:19:15,283
2022-07-25 02:19:30,283
2022-07-25 02:19:45,291
2022-07-25 02:20:00,291
2022-07-25 02:20:15,364
2022-07-25 02:20:30,364
2022-07-25 02:20:45,257
2022-07-25 02:21:00,257
2022-07-25 02:21:15,172
2022-07-25 02:21:30,172
2022-07-25 02:21:45,228
2022-07-25 02:22:00,228
2022-07-25 02:22:15,203
2022-07-25 02:22:30,203
2022-07-25 02:22:45,214
2022-07-25 02:23:00,214
2022-07-25 02:23:15,187
2022-07-25 02:23:30,187
2022-07-25 02:23:45,87.2
2022-07-25 02:24:00,87.2
2022-07-25 02:24:15,227
2022-07-25 02:24:30,227
2022-07-25 02:24:45,149
2022-07-25 02:25:00,149
2022-07-25 02:25:15,182
2022-07-25 02:25:30,182
2022-07-25 02:25:45,104
2022-07-25 02:26:00,104
2022-07-25 02:26:15,178
2022-07-25 02:26:30,178
2022-07-25 02:26:45,242
2022-07-25 02:27:00,242
2022-07-25 02:27:15,163
2022-07-25 02:27:30,163
2022-07-25 02:27:45,284
2022-07-25 02:28:00,284
2022-07-25 02:28:15,163
2022-07-25 02:28:30,163
2022-07-25 02:28:45,393
2022-07-25 02:29:00,393
2022-07-25 02:29:15,608
2022-07-25 02:29:30,608
2022-07-25 02:29:45,294
2022-07-25 02:30:00,294
2022-07-25 02:30:15,432
2022-07-25 02:30:30,432
2022-07-25 02:30:45,430
2022-07-25 02:31:00,430
2022-07-25 02:31:15,467
2022-07-25 02:31:30,467
2022-07-25 02:31:45,602
2022-07-25 02:32:00,602
2022-07-25 02:32:15,520
2022-07-25 02:32:30,520
2022-07-25 02:32:45,472
2022-07-25 02:33:00,472
2022-07-25 02:33:15,277
2022-07-25 02:33:30,277
2022-07-25 02:33:45,680
2022-07-25 02:34:00,680
2022-07-25 02:34:15,544
2022-07-25 02:34:30,544
2022-07-25 02:34:45,471
2022-07-25 02:35:00,471
2022-07-25 02:35:15,579
2022-07-25 02:35:30,579
2022-07-25 02:35:45,626
2022-07-25 02:36:00,626
2022-07-25 02:36:15,526
2022-07-25 02:36:30,526
2022-07-25 02:36:45,557
2022-07-25 02:37:00,557
2022-07-25 02:37:15,473
2022-07-25 02:37:30,473
2022-07-25 02:37:45,493
2022-07-25 02:38:00,493
2022-07-25 02:38:15,583
2022-07-25 02:38:30,583
2022-07-25 02:38:45,535
2022-07-25 02:39:00,535
2022-07-25 02:39:15,494
2022-07-25 02:39:30,494
2022-07-25 02:39:45,450
2022-07-25 02:40:00,450
2022-07-25 02:40:15,272
2022-07-25 02:40:30,272
2022-07-25 02:40:45,634
2022-07-25 02:41:00,634
2022-07-25 02:41:15,444
2022-07-25 02:41:30,444
2022-07-25 02:41:45,353
2022-07-25 02:42:00,353
2022-07-25 02:42:15,416
2022-07-25 02:42:30,416
2022-07-25 02:42:45,416
2022-07-25 02:43:00,416
2022-07-25 02:43:15,371
2022-07-25 02:43:30,371
2022-07-25 02:43:45,197
2022-07-25 02:44:00,197
2022-07-25 02:44:15,357
2022-07-25 02:44:30,357
2022-07-25 02:44:45,103
2022-07-25 02:45:00,103
2022-07-25 02:45:15,0.0333
2022-07-25 02:45:30,0.0333
